Place_ID X Date,target
0Q2LTOG X 2020-02-01,88.99
0Q2LTOG X 2020-02-02,70.92
0Q2LTOG X 2020-02-03,51.31
0Q2LTOG X 2020-02-04,79.88
0Q2LTOG X 2020-02-05,39.1
0Q2LTOG X 2020-02-06,74.49
0Q2LTOG X 2020-02-07,83.35
0Q2LTOG X 2020-02-08,75.71
0Q2LTOG X 2020-02-09,69.32
0Q2LTOG X 2020-02-10,82.34
0Q2LTOG X 2020-02-11,81.1
0Q2LTOG X 2020-02-12,59.46
0Q2LTOG X 2020-02-13,79.67
0Q2LTOG X 2020-02-14,93.68
0Q2LTOG X 2020-02-15,44.0
0Q2LTOG X 2020-02-16,55.39
0Q2LTOG X 2020-02-17,23.68
0Q2LTOG X 2020-02-18,70.54
0Q2LTOG X 2020-02-19,92.69
0Q2LTOG X 2020-02-20,91.95
0Q2LTOG X 2020-02-21,100.87
0Q2LTOG X 2020-02-22,67.73
0Q2LTOG X 2020-02-23,59.76
0Q2LTOG X 2020-02-24,64.63
0Q2LTOG X 2020-02-25,44.56
0Q2LTOG X 2020-02-26,91.49
0Q2LTOG X 2020-02-27,92.74
0Q2LTOG X 2020-02-28,80.11
0Q2LTOG X 2020-02-29,73.02
0Q2LTOG X 2020-03-01,56.13
0Q2LTOG X 2020-03-02,62.91
0Q2LTOG X 2020-03-03,93.88
0Q2LTOG X 2020-03-04,66.44
0Q2LTOG X 2020-03-05,70.06
0Q2LTOG X 2020-03-06,94.05
0Q2LTOG X 2020-03-07,103.01
0Q2LTOG X 2020-03-08,86.3
0Q2LTOG X 2020-03-09,103.37
0Q2LTOG X 2020-03-10,32.31
0Q2LTOG X 2020-03-11,40.16
0Q2LTOG X 2020-03-12,78.29
0Q2LTOG X 2020-03-13,44.7
0Q2LTOG X 2020-03-14,86.54
0Q2LTOG X 2020-03-15,41.65
0Q2LTOG X 2020-03-16,54.65
0Q2LTOG X 2020-03-17,91.67
0Q2LTOG X 2020-03-18,80.52
0Q2LTOG X 2020-03-19,60.76
0Q2LTOG X 2020-03-20,79.16
0Q2LTOG X 2020-03-21,87.88
0Q2LTOG X 2020-03-22,50.23
0Q2LTOG X 2020-03-23,71.07
0Q2LTOG X 2020-03-24,89.63
0Q2LTOG X 2020-03-25,90.62
0Q2LTOG X 2020-03-26,75.96
0Q2LTOG X 2020-03-27,53.15
0Q2LTOG X 2020-03-28,47.65
0Q2LTOG X 2020-03-29,62.18
0Q2LTOG X 2020-03-30,62.82
0Q2LTOG X 2020-03-31,64.33
0Q2LTOG X 2020-04-01,58.31
0Q2LTOG X 2020-04-02,62.56
0Q2LTOG X 2020-04-03,63.25
0Q2LTOG X 2020-04-04,38.27
15WCXN1 X 2020-01-02,168.93
15WCXN1 X 2020-01-03,141.45
15WCXN1 X 2020-01-04,139.21
15WCXN1 X 2020-01-05,135.18
15WCXN1 X 2020-01-06,115.81
15WCXN1 X 2020-01-07,42.53
15WCXN1 X 2020-01-08,81.69
15WCXN1 X 2020-01-09,124.13
15WCXN1 X 2020-01-10,140.07
15WCXN1 X 2020-01-11,138.89
15WCXN1 X 2020-01-12,162.71
15WCXN1 X 2020-01-13,183.87
15WCXN1 X 2020-01-14,159.29
15WCXN1 X 2020-01-15,198.11
15WCXN1 X 2020-01-16,178.67
15WCXN1 X 2020-01-17,161.89
15WCXN1 X 2020-01-18,142.49
15WCXN1 X 2020-01-19,63.46
15WCXN1 X 2020-01-20,90.69
15WCXN1 X 2020-01-21,127.42
15WCXN1 X 2020-01-22,122.83
15WCXN1 X 2020-01-23,85.55
15WCXN1 X 2020-01-24,82.02
15WCXN1 X 2020-01-25,127.11
15WCXN1 X 2020-01-26,108.7
15WCXN1 X 2020-01-27,87.1
15WCXN1 X 2020-01-28,105.77
15WCXN1 X 2020-01-29,77.0
15WCXN1 X 2020-01-30,57.55
15WCXN1 X 2020-01-31,130.49
15WCXN1 X 2020-02-01,108.76
15WCXN1 X 2020-02-02,105.84
15WCXN1 X 2020-02-03,91.07
15WCXN1 X 2020-02-04,37.17
15WCXN1 X 2020-02-05,57.86
15WCXN1 X 2020-02-06,111.95
15WCXN1 X 2020-02-07,107.41
15WCXN1 X 2020-02-08,90.96
15WCXN1 X 2020-02-09,82.99
15WCXN1 X 2020-02-10,101.97
15WCXN1 X 2020-02-11,89.1
15WCXN1 X 2020-02-12,71.03
15WCXN1 X 2020-02-13,98.65
15WCXN1 X 2020-02-14,68.79
15WCXN1 X 2020-02-15,79.88
15WCXN1 X 2020-02-16,64.69
15WCXN1 X 2020-02-17,78.34
15WCXN1 X 2020-02-18,108.58
15WCXN1 X 2020-02-19,104.08
15WCXN1 X 2020-02-20,84.4
15WCXN1 X 2020-02-21,83.51
15WCXN1 X 2020-02-22,79.23
15WCXN1 X 2020-02-23,100.61
15WCXN1 X 2020-02-24,77.47
15WCXN1 X 2020-02-25,91.46
15WCXN1 X 2020-02-26,45.12
15WCXN1 X 2020-02-27,109.92
15WCXN1 X 2020-02-28,95.54
15WCXN1 X 2020-02-29,93.54
15WCXN1 X 2020-03-01,78.96
15WCXN1 X 2020-03-02,95.34
15WCXN1 X 2020-03-03,112.72
15WCXN1 X 2020-03-04,65.87
15WCXN1 X 2020-03-05,101.14
15WCXN1 X 2020-03-06,70.72
15WCXN1 X 2020-03-07,58.67
15WCXN1 X 2020-03-08,81.4
15WCXN1 X 2020-03-09,77.83
15WCXN1 X 2020-03-10,74.58
15WCXN1 X 2020-03-11,107.49
15WCXN1 X 2020-03-12,70.52
15WCXN1 X 2020-03-13,69.68
15WCXN1 X 2020-03-14,87.35
15WCXN1 X 2020-03-15,31.56
15WCXN1 X 2020-03-16,83.57
15WCXN1 X 2020-03-17,71.24
15WCXN1 X 2020-03-18,91.28
15WCXN1 X 2020-03-19,37.46
15WCXN1 X 2020-03-20,88.1
15WCXN1 X 2020-03-21,97.09
15WCXN1 X 2020-03-22,103.79
15WCXN1 X 2020-03-23,56.48
15WCXN1 X 2020-03-24,100.54
15WCXN1 X 2020-03-25,88.69
15WCXN1 X 2020-03-26,29.52
15WCXN1 X 2020-03-27,59.73
15WCXN1 X 2020-03-28,53.45
15WCXN1 X 2020-03-29,60.47
15WCXN1 X 2020-03-30,80.16
15WCXN1 X 2020-03-31,82.93
15WCXN1 X 2020-04-01,40.36
15WCXN1 X 2020-04-02,74.08
15WCXN1 X 2020-04-03,39.6
15WCXN1 X 2020-04-04,34.46
19090SM X 2020-01-02,228.53
19090SM X 2020-01-03,72.3
19090SM X 2020-01-04,90.88
19090SM X 2020-01-05,86.0
19090SM X 2020-01-06,76.47
19090SM X 2020-01-07,62.25
19090SM X 2020-01-08,62.29
19090SM X 2020-01-09,96.17
19090SM X 2020-01-10,60.68
19090SM X 2020-01-11,96.38
19090SM X 2020-01-12,36.15
19090SM X 2020-01-13,74.62
19090SM X 2020-01-14,60.31
19090SM X 2020-01-15,35.69
19090SM X 2020-01-16,52.58
19090SM X 2020-01-17,77.7
19090SM X 2020-01-18,184.78
19090SM X 2020-01-19,69.07
19090SM X 2020-01-20,92.79
19090SM X 2020-01-21,69.95
19090SM X 2020-01-22,78.35
19090SM X 2020-01-23,106.24
19090SM X 2020-02-18,76.01
19090SM X 2020-02-19,127.77
19090SM X 2020-02-20,62.68
19090SM X 2020-02-21,79.49
19090SM X 2020-02-22,52.18
19090SM X 2020-02-23,77.85
19090SM X 2020-02-24,58.4
19090SM X 2020-02-25,34.58
19090SM X 2020-02-26,74.9
19090SM X 2020-02-27,74.89
19090SM X 2020-02-28,75.12
19090SM X 2020-02-29,85.58
19090SM X 2020-03-01,50.02
19090SM X 2020-03-02,61.45
19090SM X 2020-03-03,67.23
19090SM X 2020-03-04,68.14
19090SM X 2020-03-05,69.44
19090SM X 2020-03-06,326.44
19090SM X 2020-03-07,47.42
19090SM X 2020-03-08,72.47
19090SM X 2020-03-09,85.0
19090SM X 2020-03-10,94.59
19090SM X 2020-03-11,89.13
19090SM X 2020-03-12,64.48
19090SM X 2020-03-13,42.44
19090SM X 2020-03-14,27.34
19090SM X 2020-03-15,89.61
19090SM X 2020-03-16,68.5
19090SM X 2020-03-17,71.09
19090SM X 2020-03-18,54.88
19090SM X 2020-03-19,54.52
19090SM X 2020-03-20,56.99
19090SM X 2020-03-21,39.75
19090SM X 2020-03-22,119.27
19090SM X 2020-03-23,40.16
19090SM X 2020-03-24,63.41
19090SM X 2020-03-25,48.54
19090SM X 2020-03-26,59.25
19090SM X 2020-03-27,44.93
19090SM X 2020-03-28,42.55
19090SM X 2020-03-29,40.0
19090SM X 2020-03-30,40.14
19090SM X 2020-03-31,47.84
19090SM X 2020-04-01,55.42
19090SM X 2020-04-02,37.14
19090SM X 2020-04-03,43.51
19090SM X 2020-04-04,40.32
1BD5TVT X 2020-01-02,73.14
1BD5TVT X 2020-01-03,68.49
1BD5TVT X 2020-01-04,70.52
1BD5TVT X 2020-01-05,77.74
1BD5TVT X 2020-01-06,58.13
1BD5TVT X 2020-01-07,52.6
1BD5TVT X 2020-01-08,62.71
1BD5TVT X 2020-01-09,94.04
1BD5TVT X 2020-01-10,65.93
1BD5TVT X 2020-01-11,82.47
1BD5TVT X 2020-01-12,60.43
1BD5TVT X 2020-01-13,71.28
1BD5TVT X 2020-01-14,121.49
1BD5TVT X 2020-01-15,71.59
1BD5TVT X 2020-01-16,91.57
1BD5TVT X 2020-01-17,66.44
1BD5TVT X 2020-01-18,72.7
1BD5TVT X 2020-01-19,69.56
1BD5TVT X 2020-01-20,75.44
1BD5TVT X 2020-01-21,84.34
1BD5TVT X 2020-01-22,53.33
1BD5TVT X 2020-01-23,51.91
1BD5TVT X 2020-01-24,67.86
1BD5TVT X 2020-01-25,111.94
1BD5TVT X 2020-01-26,73.56
1BD5TVT X 2020-01-27,90.28
1BD5TVT X 2020-01-28,59.77
1BD5TVT X 2020-01-29,51.66
1BD5TVT X 2020-01-30,101.11
1BD5TVT X 2020-01-31,89.97
1BD5TVT X 2020-02-01,54.95
1BD5TVT X 2020-02-02,75.18
1BD5TVT X 2020-02-03,69.88
1BD5TVT X 2020-02-04,64.09
1BD5TVT X 2020-02-05,71.51
1BD5TVT X 2020-02-06,55.49
1BD5TVT X 2020-02-07,61.58
1BD5TVT X 2020-02-08,56.84
1BD5TVT X 2020-02-09,50.38
1BD5TVT X 2020-02-10,89.9
1BD5TVT X 2020-02-11,89.02
1BD5TVT X 2020-02-12,55.57
1BD5TVT X 2020-02-13,54.2
1BD5TVT X 2020-02-14,89.42
1BD5TVT X 2020-02-15,93.15
1BD5TVT X 2020-02-16,74.81
1BD5TVT X 2020-02-17,95.63
1BD5TVT X 2020-02-18,87.62
1BD5TVT X 2020-02-19,104.85
1BD5TVT X 2020-02-20,47.94
1BD5TVT X 2020-02-21,53.31
1BD5TVT X 2020-02-22,91.19
1BD5TVT X 2020-02-23,89.55
1BD5TVT X 2020-02-24,88.84
1BD5TVT X 2020-02-25,96.58
1BD5TVT X 2020-02-26,115.69
1BD5TVT X 2020-02-27,74.23
1BD5TVT X 2020-02-28,67.11
1BD5TVT X 2020-02-29,65.7
1BD5TVT X 2020-03-01,87.0
1BD5TVT X 2020-03-02,44.65
1BD5TVT X 2020-03-03,98.92
1BD5TVT X 2020-03-04,48.88
1BD5TVT X 2020-03-05,43.81
1BD5TVT X 2020-03-06,94.01
1BD5TVT X 2020-03-07,61.53
1BD5TVT X 2020-03-08,77.46
1BD5TVT X 2020-03-09,77.15
1BD5TVT X 2020-03-10,36.34
1BD5TVT X 2020-03-11,49.07
1BD5TVT X 2020-03-12,45.58
1BD5TVT X 2020-03-13,88.62
1BD5TVT X 2020-03-14,46.02
1BD5TVT X 2020-03-15,79.87
1BD5TVT X 2020-03-16,61.33
1BD5TVT X 2020-03-17,54.19
1BD5TVT X 2020-03-18,46.7
1BD5TVT X 2020-03-19,46.37
1BD5TVT X 2020-03-20,85.47
1BD5TVT X 2020-03-21,84.25
1BD5TVT X 2020-03-22,78.4
1BD5TVT X 2020-03-23,77.78
1BD5TVT X 2020-03-24,83.0
1BD5TVT X 2020-03-25,66.14
1BD5TVT X 2020-03-26,85.31
1BD5TVT X 2020-03-27,82.28
1BD5TVT X 2020-03-28,80.01
1BD5TVT X 2020-03-29,60.82
1BD5TVT X 2020-03-30,39.2
1BD5TVT X 2020-03-31,39.75
1BD5TVT X 2020-04-01,51.31
1BD5TVT X 2020-04-02,41.94
1BD5TVT X 2020-04-03,69.22
1BD5TVT X 2020-04-04,41.63
1JJE0UY X 2020-01-02,48.81
1JJE0UY X 2020-01-03,60.21
1JJE0UY X 2020-01-04,56.71
1JJE0UY X 2020-01-05,47.36
1JJE0UY X 2020-01-06,48.32
1JJE0UY X 2020-01-07,43.58
1JJE0UY X 2020-01-08,34.81
1JJE0UY X 2020-01-09,45.94
1JJE0UY X 2020-01-10,45.13
1JJE0UY X 2020-01-11,23.13
1JJE0UY X 2020-01-12,32.74
1JJE0UY X 2020-01-13,32.92
1JJE0UY X 2020-01-14,33.23
1JJE0UY X 2020-01-15,39.89
1JJE0UY X 2020-01-16,46.33
1JJE0UY X 2020-01-17,92.24
1JJE0UY X 2020-01-18,63.38
1JJE0UY X 2020-01-19,56.21
1JJE0UY X 2020-01-20,47.82
1JJE0UY X 2020-01-21,63.24
1JJE0UY X 2020-01-22,59.59
1JJE0UY X 2020-01-23,66.73
1JJE0UY X 2020-01-24,72.26
1JJE0UY X 2020-01-25,60.41
1JJE0UY X 2020-01-26,48.12
1JJE0UY X 2020-01-27,42.32
1JJE0UY X 2020-01-28,42.56
1JJE0UY X 2020-01-29,49.51
1JJE0UY X 2020-01-30,42.49
1JJE0UY X 2020-01-31,40.84
1JJE0UY X 2020-02-01,37.57
1JJE0UY X 2020-02-02,37.97
1JJE0UY X 2020-02-03,54.38
1JJE0UY X 2020-02-04,61.83
1JJE0UY X 2020-02-05,80.35
1JJE0UY X 2020-02-06,74.38
1JJE0UY X 2020-02-07,97.82
1JJE0UY X 2020-02-08,56.86
1JJE0UY X 2020-02-09,39.73
1JJE0UY X 2020-02-10,37.74
1JJE0UY X 2020-02-11,44.28
1JJE0UY X 2020-02-12,49.68
1JJE0UY X 2020-02-13,50.11
1JJE0UY X 2020-02-14,57.91
1JJE0UY X 2020-02-15,64.9
1JJE0UY X 2020-02-16,34.33
1JJE0UY X 2020-02-17,40.76
1JJE0UY X 2020-02-18,47.32
1JJE0UY X 2020-02-19,43.32
1JJE0UY X 2020-02-20,43.09
1JJE0UY X 2020-02-21,44.08
1JJE0UY X 2020-02-22,38.51
1JJE0UY X 2020-02-23,50.61
1JJE0UY X 2020-02-24,53.54
1JJE0UY X 2020-02-25,44.33
1JJE0UY X 2020-02-26,45.88
1JJE0UY X 2020-02-27,33.81
1JJE0UY X 2020-02-28,42.67
1JJE0UY X 2020-02-29,31.57
1JJE0UY X 2020-03-01,40.83
1JJE0UY X 2020-03-02,45.68
1JJE0UY X 2020-03-03,41.0
1JJE0UY X 2020-03-04,46.24
1JJE0UY X 2020-03-05,39.66
1JJE0UY X 2020-03-06,50.51
1JJE0UY X 2020-03-07,46.93
1JJE0UY X 2020-03-08,32.2
1JJE0UY X 2020-03-09,41.28
1JJE0UY X 2020-03-10,38.01
1JJE0UY X 2020-03-11,46.86
1JJE0UY X 2020-03-12,84.47
1JJE0UY X 2020-03-13,48.15
1JJE0UY X 2020-03-14,68.09
1JJE0UY X 2020-03-15,42.56
1JJE0UY X 2020-03-16,41.66
1JJE0UY X 2020-03-17,39.3
1JJE0UY X 2020-03-18,57.51
1JJE0UY X 2020-03-19,57.7
1JJE0UY X 2020-03-20,51.63
1JJE0UY X 2020-03-21,44.94
1JJE0UY X 2020-03-22,40.61
1JJE0UY X 2020-03-23,64.02
1JJE0UY X 2020-03-24,56.05
1JJE0UY X 2020-03-25,46.85
1JJE0UY X 2020-03-26,75.11
1JJE0UY X 2020-03-27,63.03
1JJE0UY X 2020-03-28,34.14
1JJE0UY X 2020-03-29,37.39
1JJE0UY X 2020-03-30,45.72
1JJE0UY X 2020-03-31,57.6
1JJE0UY X 2020-04-01,53.32
1JJE0UY X 2020-04-02,46.64
1JJE0UY X 2020-04-03,50.66
1JJE0UY X 2020-04-04,48.34
1PILPB3 X 2020-01-02,39.54
1PILPB3 X 2020-01-03,80.88
1PILPB3 X 2020-01-04,72.52
1PILPB3 X 2020-01-05,76.38
1PILPB3 X 2020-01-06,88.75
1PILPB3 X 2020-01-07,29.29
1PILPB3 X 2020-01-08,51.42
1PILPB3 X 2020-01-09,71.27
1PILPB3 X 2020-01-10,49.13
1PILPB3 X 2020-01-11,70.61
1PILPB3 X 2020-01-12,48.63
1PILPB3 X 2020-01-13,57.4
1PILPB3 X 2020-01-14,63.05
1PILPB3 X 2020-01-15,109.1
1PILPB3 X 2020-01-16,82.02
1PILPB3 X 2020-01-17,46.5
1PILPB3 X 2020-01-18,60.06
1PILPB3 X 2020-01-19,56.12
1PILPB3 X 2020-01-20,73.97
1PILPB3 X 2020-01-21,59.01
1PILPB3 X 2020-01-22,52.39
1PILPB3 X 2020-01-23,62.42
1PILPB3 X 2020-01-24,54.03
1PILPB3 X 2020-01-25,78.85
1PILPB3 X 2020-01-26,76.8
1PILPB3 X 2020-01-27,63.48
1PILPB3 X 2020-01-28,36.01
1PILPB3 X 2020-01-29,50.84
1PILPB3 X 2020-01-30,62.7
1PILPB3 X 2020-01-31,99.56
1PILPB3 X 2020-02-01,50.19
1PILPB3 X 2020-02-02,87.24
1PILPB3 X 2020-02-03,64.0
1PILPB3 X 2020-02-04,73.79
1PILPB3 X 2020-02-05,57.16
1PILPB3 X 2020-02-06,65.35
1PILPB3 X 2020-02-07,67.4
1PILPB3 X 2020-02-08,35.4
1PILPB3 X 2020-02-09,64.92
1PILPB3 X 2020-02-10,67.71
1PILPB3 X 2020-02-11,86.56
1PILPB3 X 2020-02-12,44.84
1PILPB3 X 2020-02-13,78.87
1PILPB3 X 2020-02-14,100.39
1PILPB3 X 2020-02-15,79.05
1PILPB3 X 2020-02-16,68.04
1PILPB3 X 2020-02-17,76.89
1PILPB3 X 2020-02-18,46.25
1PILPB3 X 2020-02-19,55.65
1PILPB3 X 2020-02-20,58.27
1PILPB3 X 2020-02-21,70.94
1PILPB3 X 2020-02-22,51.19
1PILPB3 X 2020-02-23,42.37
1PILPB3 X 2020-02-24,54.67
1PILPB3 X 2020-02-25,73.51
1PILPB3 X 2020-02-26,72.89
1PILPB3 X 2020-02-27,67.14
1PILPB3 X 2020-02-28,54.63
1PILPB3 X 2020-02-29,82.88
1PILPB3 X 2020-03-01,53.16
1PILPB3 X 2020-03-02,74.46
1PILPB3 X 2020-03-03,86.31
1PILPB3 X 2020-03-04,45.09
1PILPB3 X 2020-03-05,54.19
1PILPB3 X 2020-03-06,55.64
1PILPB3 X 2020-03-07,62.39
1PILPB3 X 2020-03-08,65.79
1PILPB3 X 2020-03-09,48.36
1PILPB3 X 2020-03-10,62.49
1PILPB3 X 2020-03-11,25.31
1PILPB3 X 2020-03-12,75.83
1PILPB3 X 2020-03-13,79.6
1PILPB3 X 2020-03-14,56.92
1PILPB3 X 2020-03-15,56.69
1PILPB3 X 2020-03-16,44.51
1PILPB3 X 2020-03-17,82.11
1PILPB3 X 2020-03-18,81.67
1PILPB3 X 2020-03-19,65.6
1PILPB3 X 2020-03-20,42.34
1PILPB3 X 2020-03-21,89.59
1PILPB3 X 2020-03-22,46.29
1PILPB3 X 2020-03-23,88.73
1PILPB3 X 2020-03-24,90.14
1PILPB3 X 2020-03-25,79.49
1PILPB3 X 2020-03-26,57.04
1PILPB3 X 2020-03-27,39.47
1PILPB3 X 2020-03-28,49.64
1PILPB3 X 2020-03-29,66.71
1PILPB3 X 2020-03-30,40.34
1PILPB3 X 2020-03-31,58.86
1PILPB3 X 2020-04-01,39.85
1PILPB3 X 2020-04-02,68.93
1PILPB3 X 2020-04-03,64.3
1PILPB3 X 2020-04-04,53.48
1WV2OIN X 2020-01-02,64.95
1WV2OIN X 2020-01-03,76.16
1WV2OIN X 2020-01-04,89.05
1WV2OIN X 2020-01-05,60.18
1WV2OIN X 2020-01-06,47.09
1WV2OIN X 2020-01-07,44.8
1WV2OIN X 2020-01-08,122.58
1WV2OIN X 2020-01-09,79.73
1WV2OIN X 2020-01-10,83.55
1WV2OIN X 2020-01-11,83.27
1WV2OIN X 2020-01-12,75.39
1WV2OIN X 2020-01-13,92.2
1WV2OIN X 2020-01-14,87.46
1WV2OIN X 2020-01-15,67.73
1WV2OIN X 2020-01-16,113.5
1WV2OIN X 2020-01-17,89.86
1WV2OIN X 2020-01-18,54.97
1WV2OIN X 2020-01-19,61.03
1WV2OIN X 2020-01-20,96.74
1WV2OIN X 2020-01-21,62.85
1WV2OIN X 2020-01-22,59.09
1WV2OIN X 2020-01-23,88.11
1WV2OIN X 2020-01-24,90.23
1WV2OIN X 2020-01-25,65.78
1WV2OIN X 2020-01-26,97.4
1WV2OIN X 2020-01-27,79.84
1WV2OIN X 2020-01-28,78.62
1WV2OIN X 2020-01-29,131.16
1WV2OIN X 2020-01-30,83.26
1WV2OIN X 2020-01-31,102.4
1WV2OIN X 2020-02-01,66.74
1WV2OIN X 2020-02-02,65.1
1WV2OIN X 2020-02-03,91.28
1WV2OIN X 2020-02-04,74.52
1WV2OIN X 2020-02-05,52.21
1WV2OIN X 2020-02-06,61.08
1WV2OIN X 2020-02-07,70.15
1WV2OIN X 2020-02-08,72.98
1WV2OIN X 2020-02-09,78.87
1WV2OIN X 2020-02-10,71.29
1WV2OIN X 2020-02-11,102.16
1WV2OIN X 2020-02-12,64.48
1WV2OIN X 2020-02-13,66.83
1WV2OIN X 2020-02-14,131.86
1WV2OIN X 2020-02-15,116.08
1WV2OIN X 2020-02-16,98.53
1WV2OIN X 2020-02-17,71.01
1WV2OIN X 2020-02-18,66.16
1WV2OIN X 2020-02-19,84.31
1WV2OIN X 2020-02-20,86.17
1WV2OIN X 2020-02-21,72.28
1WV2OIN X 2020-02-22,89.0
1WV2OIN X 2020-02-23,82.64
1WV2OIN X 2020-02-24,80.84
1WV2OIN X 2020-02-25,150.25
1WV2OIN X 2020-02-26,71.87
1WV2OIN X 2020-02-27,84.24
1WV2OIN X 2020-02-28,64.44
1WV2OIN X 2020-02-29,110.8
1WV2OIN X 2020-03-01,90.23
1WV2OIN X 2020-03-02,87.23
1WV2OIN X 2020-03-03,83.68
1WV2OIN X 2020-03-04,84.5
1WV2OIN X 2020-03-05,81.99
1WV2OIN X 2020-03-06,78.18
1WV2OIN X 2020-03-07,85.72
1WV2OIN X 2020-03-08,62.78
1WV2OIN X 2020-03-09,62.14
1WV2OIN X 2020-03-10,63.45
1WV2OIN X 2020-03-11,74.37
1WV2OIN X 2020-03-12,80.4
